description,category,source
Por favor revisen mi solicitud. Deseo conocer la dirección de la sucursal más cercana a mi domicilio Necesito resolverlo durante el día de hoy. Referencia OTHR-046.,OTHR,synthetic
"Hola, por favor ayúdenme. Mi conexión a internet está demasiado lenta y no puedo trabajar El problema continúa hasta este momento. Referencia TECH-001.",TECH,synthetic
Estimado equipo de atención al cliente: Solicito la baja inmediata del internet y de la televisión contratada Quedo atento a su pronta respuesta. Referencia CNCL-016.,CNCL,synthetic
Estimado equipo de atención al cliente: La fecha límite de pago indicada en la factura parece incorrecta ¿Podrían indicarme qué debo hacer? Referencia BILL-072.,BILL,synthetic
"Hola, por favor ayúdenme. Me voy a mudar y deseo dar de baja todos los servicios contratados El problema continúa hasta este momento. Referencia CNCL-044.",CNCL,synthetic
Buenas tardes. Necesito una explicación del valor total facturado en mi cuenta Agradezco una respuesta lo antes posible. Referencia BILL-026.,BILL,synthetic
"Hola, por favor ayúdenme. Quiero cancelar definitivamente el servicio porque ya no lo necesito Necesito resolverlo durante el día de hoy. Referencia CNCL-004.",CNCL,synthetic
Por favor revisen mi solicitud. No puedo navegar aunque ya reinicié el router varias veces Necesito resolverlo durante el día de hoy. Referencia TECH-060.,TECH,synthetic
"Hola, por favor ayúdenme. Necesito cancelar la cuenta antes del próximo ciclo de facturación Necesito resolverlo durante el día de hoy. Referencia CNCL-037.",CNCL,synthetic
Buenas tardes. Necesito soporte porque el internet se cae cada pocos minutos Quedo atento a su pronta respuesta. Referencia TECH-069.,TECH,synthetic
"Buenos días, necesito asistencia. La señal de wifi se desconecta constantemente en toda la casa Quedo atento a su pronta respuesta. Referencia TECH-052.",TECH,synthetic
Buenas tardes. ¿Cuál es el horario de atención de la oficina ubicada en el centro? Agradezco una respuesta lo antes posible. Referencia OTHR-069.,OTHR,synthetic
Buenas tardes. Solicito una copia de la factura con el detalle de todos los cargos Quedo atento a su pronta respuesta. Referencia BILL-070.,BILL,synthetic
Buenas tardes. Necesito actualizar el correo electrónico registrado en mi perfil ¿Podrían indicarme qué debo hacer? Referencia OTHR-073.,OTHR,synthetic
"Hola, por favor ayúdenme. Me voy a mudar y deseo dar de baja todos los servicios contratados Agradezco una respuesta lo antes posible. Referencia CNCL-022.",CNCL,synthetic
Estimado equipo de atención al cliente: Deseo agregar televisión y telefonía a mi paquete de servicios Necesito resolverlo durante el día de hoy. Referencia PLAN-028.,PLAN,synthetic
"Buenos días, necesito asistencia. Me cobraron dos veces el mismo servicio en la tarjeta de crédito ¿Podrían indicarme qué debo hacer? Referencia BILL-045.",BILL,synthetic
Estimado equipo de atención al cliente: Quiero anular la renovación y cancelar el plan al finalizar este mes Quedo atento a su pronta respuesta. Referencia CNCL-074.,CNCL,synthetic
Por favor revisen mi solicitud. Quiero cancelar definitivamente el servicio porque ya no lo necesito El problema continúa hasta este momento. Referencia CNCL-038.,CNCL,synthetic
Buenas tardes. Me voy a mudar y deseo dar de baja todos los servicios contratados Quedo atento a su pronta respuesta. Referencia CNCL-005.,CNCL,synthetic
"Hola, por favor ayúdenme. Me cobraron dos veces el mismo servicio en la tarjeta de crédito Necesito resolverlo durante el día de hoy. Referencia BILL-074.",BILL,synthetic
Por favor revisen mi solicitud. No estoy conforme con el servicio y quiero finalizar el contrato Quedo atento a su pronta respuesta. Referencia CNCL-031.,CNCL,synthetic
"Hola, por favor ayúdenme. Quiero reducir la velocidad para contratar un plan más económico ¿Podrían indicarme qué debo hacer? Referencia PLAN-039.",PLAN,synthetic
Buenas tardes. Solicito activar un paquete adicional de canales deportivos Quedo atento a su pronta respuesta. Referencia PLAN-023.,PLAN,synthetic
"Hola, por favor ayúdenme. Solicito activar un paquete adicional de canales deportivos ¿Podrían indicarme qué debo hacer? Referencia PLAN-070.",PLAN,synthetic
"Buenos días, necesito asistencia. El router no enciende después del último corte de energía Agradezco una respuesta lo antes posible. Referencia TECH-041.",TECH,synthetic
"Hola, por favor ayúdenme. No puedo navegar aunque ya reinicié el router varias veces Agradezco una respuesta lo antes posible. Referencia TECH-062.",TECH,synthetic
Estimado equipo de atención al cliente: Quiero reducir la velocidad para contratar un plan más económico El problema continúa hasta este momento. Referencia PLAN-071.,PLAN,synthetic
"Hola, por favor ayúdenme. Quiero actualizar el método de pago asociado con mi cuenta Agradezco una respuesta lo antes posible. Referencia BILL-046.",BILL,synthetic
"Hola, por favor ayúdenme. Necesito corregir un dato personal que aparece mal escrito en el sistema Necesito resolverlo durante el día de hoy. Referencia OTHR-013.",OTHR,synthetic
Estimado equipo de atención al cliente: Necesito migrar mi contrato al nuevo plan de fibra óptica El problema continúa hasta este momento. Referencia PLAN-034.,PLAN,synthetic
"Buenos días, necesito asistencia. Necesito conocer los planes disponibles y sus beneficios mensuales Agradezco una respuesta lo antes posible. Referencia PLAN-038.",PLAN,synthetic
Estimado equipo de atención al cliente: Me voy a mudar y deseo dar de baja todos los servicios contratados Quedo atento a su pronta respuesta. Referencia CNCL-063.,CNCL,synthetic
Por favor revisen mi solicitud. Quiero cancelar definitivamente el servicio porque ya no lo necesito Necesito resolverlo durante el día de hoy. Referencia CNCL-018.,CNCL,synthetic
