tenure_months,monthly_charge,total_charges,contract_type,payment_method,num_tickets,avg_satisfaction,churn
15,22.75,339.35,month-to-month,card,4,2.0,0
12,84.95,1005.35,month-to-month,cash,0,1.1,1
70,66.15,4646.56,one-year,card,7,3.4,0
55,57.43,2938.18,one-year,card,2,1.9,0
45,86.41,3611.08,month-to-month,bank-transfer,0,3.9,0
47,83.51,4036.34,month-to-month,bank-transfer,1,1.2,0
13,61.81,770.65,month-to-month,bank-transfer,7,3.5,0
10,87.0,836.71,month-to-month,bank-transfer,2,3.1,0
72,44.16,3212.58,one-year,card,5,4.4,0
52,49.45,2454.7,one-year,cash,3,4.7,0
51,117.32,5994.98,month-to-month,card,10,2.8,1
55,118.76,6375.35,two-year,card,6,2.4,1
7,114.72,791.48,one-year,bank-transfer,2,3.5,0
60,78.2,4375.76,month-to-month,cash,8,4.4,0
35,104.55,3367.82,month-to-month,bank-transfer,5,1.4,0
34,126.91,4111.4,month-to-month,cash,2,3.0,0
26,36.81,977.19,one-year,cash,2,3.2,0
63,22.14,1319.97,two-year,bank-transfer,5,4.5,0
11,29.42,324.99,two-year,cash,7,4.3,1
61,124.15,7770.66,two-year,bank-transfer,2,2.1,0
26,98.42,2607.43,one-year,bank-transfer,6,5.0,0
32,44.72,1351.22,one-year,cash,5,1.1,1
8,45.18,343.6,month-to-month,card,0,4.4,0
70,34.55,2439.84,month-to-month,bank-transfer,9,3.3,0
13,92.49,1113.35,month-to-month,cash,5,2.7,0
13,26.67,326.23,month-to-month,card,5,4.2,0
55,40.18,2229.53,two-year,bank-transfer,7,2.0,0
13,25.56,311.78,two-year,card,8,4.3,0
28,115.11,3059.26,month-to-month,bank-transfer,0,1.7,0
59,51.38,2887.85,month-to-month,card,8,3.6,0
70,26.71,1909.21,one-year,cash,5,1.2,0
8,125.69,999.76,month-to-month,card,1,4.4,1
16,123.58,1836.93,one-year,cash,9,2.0,0
67,54.8,3485.15,one-year,card,4,1.8,0
39,70.29,2822.37,one-year,cash,1,1.0,1
28,75.65,2034.84,two-year,card,2,4.7,0
70,97.39,6277.78,one-year,cash,9,4.9,0
39,122.49,4862.47,month-to-month,card,1,4.8,0
20,49.96,988.97,month-to-month,cash,9,1.8,1
63,47.62,2774.6,month-to-month,bank-transfer,0,1.4,0
17,90.08,1480.89,month-to-month,cash,4,1.6,1
10,123.96,1215.77,two-year,cash,2,3.2,0
6,53.91,321.31,month-to-month,card,0,4.6,0
72,117.25,8569.53,one-year,card,6,4.9,0
23,116.96,2712.26,two-year,bank-transfer,0,1.7,0
32,49.35,1491.5,month-to-month,bank-transfer,1,2.5,0
59,58.46,3297.75,one-year,bank-transfer,3,1.9,0
36,58.63,2018.71,two-year,cash,8,2.6,1
34,39.64,1347.95,one-year,bank-transfer,4,1.2,0
66,32.72,1987.16,month-to-month,bank-transfer,9,1.8,0
69,95.55,6733.28,month-to-month,cash,10,1.8,0
16,99.17,1530.02,one-year,bank-transfer,4,3.0,0
17,41.1,690.11,one-year,card,10,4.8,0
71,111.71,7826.18,month-to-month,cash,4,2.1,0
57,68.64,3672.51,one-year,cash,3,3.0,0
66,93.02,6102.53,one-year,card,9,2.3,0
26,36.21,913.31,month-to-month,card,0,2.0,0
25,99.02,2464.7,month-to-month,cash,6,3.0,0
14,105.63,1436.08,two-year,cash,3,1.7,0
16,70.21,1072.7,two-year,cash,7,3.7,0
57,87.39,5074.34,two-year,bank-transfer,8,2.7,0
61,69.51,4126.92,month-to-month,cash,3,4.4,0
57,28.52,1510.0,month-to-month,cash,4,1.9,1
50,96.33,4678.03,month-to-month,cash,3,1.3,1
54,62.84,3263.88,month-to-month,cash,9,4.8,1
46,52.85,2380.54,two-year,bank-transfer,6,4.4,0
29,73.71,2123.86,month-to-month,bank-transfer,4,2.7,0
22,112.46,2437.28,month-to-month,bank-transfer,2,4.9,0
11,90.7,959.49,month-to-month,bank-transfer,2,4.5,1
42,57.13,2274.09,two-year,bank-transfer,6,2.1,1
3,102.39,284.91,month-to-month,cash,0,5.0,0
6,102.97,584.61,month-to-month,card,3,1.8,1
15,82.04,1154.86,month-to-month,bank-transfer,3,2.9,0
15,105.56,1618.52,month-to-month,card,2,4.9,0
49,63.63,2951.73,one-year,cash,3,1.3,0
39,113.53,4454.63,one-year,cash,9,4.2,0
55,92.77,5155.7,month-to-month,bank-transfer,1,3.0,1
47,89.91,4130.23,month-to-month,cash,7,3.8,0
69,105.21,6936.11,one-year,bank-transfer,7,2.7,0
12,50.68,604.21,month-to-month,cash,7,2.0,1
64,113.6,6960.95,month-to-month,bank-transfer,2,3.0,0
36,81.14,2817.95,month-to-month,cash,8,4.8,0
31,95.97,2767.52,month-to-month,card,10,3.8,1
32,53.68,1660.74,one-year,bank-transfer,9,2.5,0
43,58.7,2522.44,month-to-month,card,7,2.1,1
69,124.6,8594.86,one-year,bank-transfer,2,1.8,0
68,85.65,5473.23,month-to-month,bank-transfer,1,4.3,1
69,33.92,2396.3,one-year,cash,0,4.9,0
63,31.28,1886.84,month-to-month,bank-transfer,0,3.3,0
33,123.52,3783.28,month-to-month,bank-transfer,7,1.5,1
7,36.69,239.63,month-to-month,card,9,4.8,0
29,105.33,3142.86,month-to-month,cash,6,2.8,1
8,87.06,661.04,month-to-month,card,1,4.8,1
31,39.12,1194.92,month-to-month,cash,1,1.6,1
30,51.69,1466.46,month-to-month,cash,4,3.8,0
26,66.77,1754.99,month-to-month,bank-transfer,8,1.9,1
22,107.19,2283.44,one-year,bank-transfer,9,4.0,0
39,96.97,3728.07,month-to-month,card,4,3.0,0
42,86.41,3573.27,two-year,cash,0,1.4,1
35,83.39,2743.43,one-year,bank-transfer,2,2.9,0
63,126.6,7429.51,month-to-month,cash,7,2.4,1
53,96.3,4716.19,month-to-month,cash,4,3.7,1
33,55.56,1819.44,one-year,card,6,4.5,0
53,25.96,1332.71,one-year,cash,8,2.4,1
35,80.41,2598.14,one-year,card,4,2.8,0
31,98.08,2872.39,one-year,card,4,3.2,0
15,70.76,1010.56,month-to-month,cash,1,3.6,0
54,111.82,5681.82,one-year,bank-transfer,7,2.0,0
18,115.04,2117.86,two-year,bank-transfer,4,4.1,0
1,51.11,49.77,one-year,cash,4,4.3,0
69,73.28,5170.66,month-to-month,bank-transfer,5,3.2,0
31,82.9,2574.83,month-to-month,bank-transfer,3,4.4,0
49,62.47,2982.93,one-year,card,10,4.2,1
65,126.19,7636.13,two-year,bank-transfer,5,4.5,0
2,99.47,193.3,two-year,card,6,4.5,0
44,88.56,3953.25,two-year,cash,6,3.6,0
41,88.95,3449.38,month-to-month,card,7,4.5,0
37,129.72,4787.3,month-to-month,cash,1,2.7,1
22,96.34,2033.49,one-year,bank-transfer,0,1.2,0
32,78.43,2330.78,month-to-month,card,9,3.7,0
31,74.74,2248.71,month-to-month,bank-transfer,9,1.6,1
